DATE_CREATED,TURBIDEZ,PH,TEMPERATURA,TDS,CONDUTIVIDADE
2023-11-14 23:18:30,0.5,6.77,25.98,102.36,204.72
2023-11-14 23:19:12,0.5,6.7,26.03,102.36,204.54
2023-11-14 23:19:53,0.5,6.72,25.96,102.27,205.41
2023-11-14 23:20:34,0.5,6.79,25.03,102.71,208.93
2023-11-14 23:21:15,0.5,6.75,26.01,104.46,205.22
2023-11-14 23:21:57,0.5,6.68,26.57,102.61,203.02
2023-11-14 23:22:39,0.5,6.74,26.07,101.51,204.95
2023-11-14 23:23:19,0.5,6.72,26.1,102.47,204.27
2023-11-14 23:24:00,0.5,6.78,26.14,102.14,205.27
2023-11-14 23:24:41,0.5,6.71,25.94,102.64,204.91
2023-11-14 23:25:23,0.5,6.76,26.19,102.45,204.51
2023-11-14 23:26:06,0.5,6.78,26.12,102.26,205.36
2023-11-14 23:26:44,0.5,6.75,26.01,102.68,205.82
2023-11-14 23:27:26,0.5,6.74,26.14,102.91,204.68
2023-11-14 23:28:07,0.5,6.77,26.16,102.34,204.61
2023-11-14 23:28:48,0.5,6.78,25.28,102.3,209.07
2023-11-14 23:29:29,0.5,6.77,26.3,104.54,205.24
2023-11-14 23:30:11,0.5,6.77,26.23,102.62,204.33
2023-11-14 23:30:51,0.5,6.82,26.37,102.16,205.56
2023-11-14 23:31:33,0.5,6.77,26.19,102.78,204.5
2023-11-14 23:32:16,0.5,6.79,25.94,102.25,207.28
2023-11-14 23:32:54,0.5,6.82,26.48,103.64,203.94
2023-11-14 23:33:35,0.5,6.82,25.41,101.97,208.99
2023-11-14 23:34:17,0.5,6.77,26.16,104.5,204.6
2023-11-14 23:34:58,0.5,6.82,26.32,102.3,205.73
2023-11-14 23:35:40,0.5,6.75,26.37,102.87,204.96
2023-11-14 23:36:21,0.5,6.82,26.34,102.48,204.47
2023-11-14 23:37:02,0.5,6.79,26.57,102.23,203.58
2023-11-14 23:37:43,0.5,6.82,26.34,101.79,205.64
